well_id,wellUse,As_,Ba,Ca,Cl_,Cr,GrossAlpha_U_Nat,Nitrate,Pb,Ra_Total,Se,U,None
542,Unknown,3.671790665,1.1,45.8,,5,,,3,,3.7,9.958087285,
543,Unknown,6.6,773,8.676926346,,27,,25.54069037,51.3,0.43,21.6,,
544,Livestock,7.54,8.24,373,,1.16,,,3.3,,43.8,,
545,Unknown,37.6088167,4.96,0.8215,,1.9,,,4.03,0.522,43.05024473,26.58356165,
546,Domestic,5,98,45.8,,1,,,3.3,3.853,5,3.3,
547,Unknown,20,6.38,8.765,,1,,,3.3,0.59,5,2.5,
550,Unknown,1.8,260,137.6,,0.5,,,1,4.428,1.2,3.6,
551,Unknown,0.52,6.6,2.4,,0.5,,,1,0.13,0.5,2.5,
552,Unknown,40,23,5.85,,1.2,,,1,3.953,9.4,130,
553,Unknown,0.5,53,16,,0.5,,,1,1.304,0.5,2.5,
554,Unknown,5.3,69,33,,1.7,,,320,0.695,0.9,5.2,
555,Unknown,6.1,62,20,,2.4,,,1,1.603,4.7,7.8,
556,Unknown,8,30,41,,0.5,,,2.4,0.737,3.6,4,
557,Unknown,7.5,49,4.9,,0.5,,,1,1.248,3.5,5.7,
565,Livestock,2,320,98,,20,,,1,,2,1,
566,Domestic,3,320,103.5,,20,,,1,,3,1,
567,Domestic,13,5,16.5,,20,,,1,,13,3,
569,Domestic,8.596178123,9,110,,20,,,1,,231.9363229,100,
570,Unknown,2.117878243,140,190,,20,,,1,,1,7.686294178,
571,Unknown,1,50,99,,20,,,1,,1,1,
574,Domestic,27.74031679,,,,1.427561298,,,0.665410662,,58.09214847,52.20423942,
575,Domestic,109.7912709,,,,0.457542534,,,0.210780201,,35.02247349,21.42820064,
576,Domestic,2,350,98,,20,,,3,,2,4,
577,Unknown,4,760,108,,20,,,1,,4,1,
584,Unknown,1,160,210,,20,,,1,,1,6,
586,Unknown,1,430,150,,20,,,1,,1,1,
587,Unknown,1,400,240,,20,,,1,,1,1,
589,Domestic,2.47549317,79,31.5,,20,,,2,,1,7,
590,Domestic,1.853227467,,,,,,,,,,9.449216359,
591,Livestock,3,57,48,,20,,,1,,1,1,
592,Unknown,1.8714458,110,100,,20,,,1,,1,4,
593,Unknown,1,9,290,,20,,,1,,1,12,
594,Domestic,1,7,190,,20,,,1,,1,1,
595,Livestock,1,18,59,,20,,,1,,1,1,
596,Unknown,4,150,130,,20,,,1,,4,1,
597,Unknown,1,27,400,,20,,,1,,1,1,
598,Unknown,1,43,49,,20,,,1,,2,3,
599,Livestock,1,16,15,,20,,,2,,8,4,
600,Domestic,1,53,26,,20,,,1,,1,1,
601,Livestock,1,51,55,,20,,,1,,1,1,
603,Domestic,9,420,170,,20,,,1,0.118,9,4.5,
604,Domestic,1,2400,190,,20,,,1,,1,1,
605,Domestic,38.61310825,13,25,,20,,,1,,32,9.434892715,
606,Unknown,1.869367269,6,710,,20,,,1,,1,26.79608293,
607,Livestock,,,,,,,,,,,,
608,Livestock,1,85,66,,20,,,1,,2,5,
609,Domestic,1,44,110,,20,,,1,,2,1,
610,Unknown,1,42,61,,20,,,1,,1,2,
611,Unknown,2,43,63,,20,,,1,,1,1,
612,Unknown,1,510,100,,20,,,1,,1,1,
613,Domestic,1,310,150,,20,,,1,,1,1,
614,Unknown,1,580,150,,20,,,1,,1,1,
615,Unknown,1,43,370,,20,,,2,,1,1,
616,Domestic,1,320,150,,20,,,1,,1,1,
617,Domestic,1,14,180,,20,,,1,,1,15,
619,Domestic,1,30,100,,20,,,1,,1,2,
620,Unknown,,,,,,,,,,,,
621,Livestock,1,170,75,,20,,,1,,1,1,
623,Livestock,1,220,160,,20,,,1,,1,2,
624,Domestic,16,14,14,,20,,,1,,16,1,
625,Domestic,23.24889522,12,34,,20,,,1,,17,1,
628,Unknown,1,56,160,,20,,,1,,1,2,
629,Unknown,3,240,230,,20,,,1,,3,2,
630,Domestic,19.13652011,120,160,,20,,,1,,2,30.53656107,
633,Livestock,40.02272086,11,4,,20,,,9.503793832,,39,11.34,
634,Agriculture,2,76,60,,20,,,1,,1,6,
635,Livestock,18.92883136,30,11,,20,,,2,,42.88544893,10.46506682,
637,Domestic,1,110,120,,20,,,1,,3,6,
638,Domestic,2,110,83,,20,,,1,,1,4,
639,Livestock,1.5270394,9,230,,20,,,1,,1,1,
640,Domestic,2,25,360,,20,,,1,,1,1,
641,Unknown,3,180,180,,20,,,1,,2,7,
642,Livestock,17,120,54,,20,,,1,,2,22,
643,Livestock,2.305078165,57,37.6,,20,,,1,0.316,11.03825218,4.639899244,
644,Domestic,18,110,27.15,,20,,,1,,1,3,
645,Unknown,6,28,18,,20,,,1,,2,1,
646,Unknown,21,6,6.8,,20,,,3,,1,1,
647,Livestock,55,22,5,,20,,,1,,1,15,
648,Domestic,3,34,9.35,,20,,,1,,1,9,
649,Livestock,1,18,60,,20,,,1,,1,1,
650,Livestock,19.2878563,13,5.5,,20,,,6.571332311,,1,11.1530006,
651,Domestic,4,14,3.75,,20,,,68,0.511,140,700,
652,Unknown,1,20,58,,20,,,1,,1,1,
653,Municipal,1,46,35,,20,,,1,,1,6,
654,Domestic,21,8,2.8,,20,,,3,,9,51,
655,Unknown,1,79,52,,20,,,1,,1,26,
656,Unknown,1,89,58,,20,,,1,,17,27,
657,Unknown,1,23,60,,20,,,2,,1,1,
658,Unknown,1.53,,,,,,,,,,7.992445351,
659,Livestock,2,48,15,,20,,,1,,1,14,
660,Unknown,2,170,120,,20,,,1,,1,14,
661,Unknown,1,36,120,,20,,,1,,4,28,
662,Unknown,1,23,57,,20,,,4,,1,1,
663,Livestock,1,47,73,,20,,,1,,1,1,
664,Unknown,1,38,59,,20,,,1,,1,1,
665,Unknown,1,35,71,,20,,,1,,1,1,
668,Unknown,1,76,56,,20,,,3,,1,1,
670,Unknown,3,130,96,,20,,,1,,1,3,
671,Domestic,1,69,65,,20,,,1,,1,1,
672,Domestic,1,13,63,,20,,,1,,1,1,
673,Unknown,4,29,69,,20,,,1,,14.95907902,1.142862707,
674,Unknown,4,39,49,,20,,,1,,12.7951342,1.299183469,
675,Domestic,1,140,74,,20,,,1,,1,1,
676,Unknown,4,330,135.5,,20,,,1,,2,3,
678,Unknown,2,49,56,,20,,,1,,1,1,
679,Unknown,2,120,110,,20,,,1,,2,16,
680,Livestock,4,5,2.5,,20,,,2,,1,7,
681,Unknown,3,5,5,,20,,,2,,1,4,
682,Livestock,6,5,3.05,,20,,,7,,3,2,
683,Domestic,1,12,20,,20,,,3,,1,1,
684,Municipal,8,5,4.2,,20,,,5,,1,3,
685,Agriculture,5,5,1.95,,20,,,3,,1,2,
687,Livestock,2,94,38,,20,,,1,,1,15,
688,Livestock,2,27,82,,20,,,1,,5,46,
692,Other,,,2,,,,,,,,,
857,Livestock,,,16,,,,,,,,,
858,Livestock,,,,,,,,,,,3.134328358,
860,Livestock,,,,,,,,,,,4.626865672,
861,Livestock,,,,,,,,,,,3.880597015,
862,Livestock,,,,,,,,,,,2.537313433,
864,Livestock,,,,,,,,,,,3.582089552,
865,Livestock,,,,,,,,,,,2.835820896,
867,Livestock,,,,,,,,,,,2.537313433,
868,Livestock,,,22,,,,19,,,,,
870,Livestock,,,49,,,,,,,,0.567164179,
872,Livestock,,,,,,,,,,,1.417910448,
873,Livestock,,,,,,,,,,,2.835820896,
875,Domestic,,,35,,,,,,,,2.388059701,
876,Livestock,,,,,,,,,,,1.791044776,
877,Livestock,,,,,,,,,,,2.089552239,
878,Livestock,,,,,,,,,,,1.328358209,
879,Livestock,,,4.9,,,,6.2,,,,,
880,Livestock,,,6.9,,,,4.8,,,,,
